Date,Ticker,Price,Amount,Action
2019-12-30,BCEI,23.37,42.0,buy
2019-12-30,BCPC,100.93,-17.0,short
2019-12-30,BDN,15.63,22.0,buy
2019-12-30,BELFA,15.5,28.0,buy
2019-12-30,BEN,26.21,18.0,buy
2019-12-30,BGH,17.4,-47.0,short
2019-12-30,BGNE,167.92,-26.0,short
2019-12-30,BGS,17.66,-15.0,short
2019-12-30,BGSF,21.17,-28.0,short
2019-12-30,BHC,29.73,-20.0,short
2019-12-30,BHE,34.6,22.0,buy
2019-12-30,BIIB,300.37,-27.0,short
2019-12-30,BIP,50.16,17.0,buy
2019-12-30,BITA,14.72,31.0,buy
2019-12-30,BJ,22.75,-29.0,short
2019-12-30,BKR,25.57,107.0,buy
2019-12-30,BLK,504.0,-30.0,short
2019-12-30,BLMN,21.79,-17.0,short
2019-12-30,BLUE,88.39,-28.0,short
2019-12-30,BNFT,22.07,-15.0,short
2019-12-30,BNTX,33.0,-23.0,short
2019-12-30,BOCH,11.43,22.0,buy
2019-12-30,BOMN,20.96,103.0,buy
2019-12-30,BOX,16.93,105.0,buy
2019-12-30,BPFH,12.08,-52.0,short
2019-12-30,BPMP,15.7,54.0,buy
2019-12-30,BPOP,58.86,-20.0,short
2019-12-30,BPY,18.15,193.0,buy
2019-12-30,BRBR,22.96,17.0,buy
2019-12-30,BREW,16.55,-33.0,short
2019-12-30,BRG,11.78,25.0,buy
2019-12-30,BRKS,42.15,-31.0,short
2019-12-30,BRO,39.28,-27.0,short
2019-12-30,BRP,15.54,116.0,buy
2019-12-30,BSET,16.81,20.0,buy
2019-12-30,BSIG,10.15,-48.0,short
2019-12-30,BSM,12.94,29.0,buy
2019-12-30,BSVN,18.75,-29.0,short
2019-12-30,BTAI,10.34,-17.0,short
2019-12-30,BUSE,27.7,41.0,buy
2019-12-30,BV,16.78,-26.0,short
2019-12-30,BVN,15.13,19.0,buy
2019-12-30,BWB,13.79,-21.0,short
2019-12-30,BXC,13.25,-21.0,short
2019-12-30,BXG,10.54,-41.0,short
2019-12-30,BXMT,37.67,-27.0,short
2019-12-30,BXS,31.7,23.0,buy
2019-12-30,BYD,30.36,-17.0,short
2019-12-30,BZH,14.28,48.0,buy
2019-12-30,C,80.15,18.0,buy
2019-12-30,CABA,13.98,-37.0,short
2019-12-30,CADE,17.99,35.0,buy
2019-12-30,CAG,34.12,24.0,buy
2019-12-30,CAH,51.47,65.0,buy
2019-12-30,CAI,28.95,18.0,buy
2019-12-30,CARE,23.32,24.0,buy
2019-12-30,CARG,35.5,33.0,buy
2019-12-30,CARS,11.85,31.0,buy
2019-12-30,CATO,17.23,27.0,buy
2019-12-30,CATS,16.35,-52.0,short
2019-12-30,CBB,10.51,27.0,buy
2019-12-30,CBD,21.8,17.0,buy
2019-12-30,CBMG,16.54,-37.0,short
2019-12-30,CBPX,36.51,18.0,buy
2019-12-30,CBRE,60.97,15.0,buy
2019-12-30,CBRL,155.22,43.0,buy
2019-12-30,CBT,47.22,-19.0,short
2019-12-30,CCC,17.0,83.0,buy
2019-12-30,CCMP,142.64,-16.0,short
2019-12-30,CCRN,11.54,33.0,buy
2019-12-30,CCS,27.25,32.0,buy
2019-12-30,CCU,19.31,25.0,buy
2019-12-30,CDAY,68.01,-23.0,short
2019-12-30,CDK,54.67,-17.0,short
2019-12-30,CDOR,11.06,-40.0,short
2019-12-30,CDXS,17.12,-24.0,short
2019-12-30,CDZI,11.1,31.0,buy
2019-12-30,CEIX,14.89,58.0,buy
2019-12-30,CENT,31.43,49.0,buy
2019-12-30,CENTA,29.69,35.0,buy
2019-12-30,CEQP,31.5,18.0,buy
2019-12-30,CFFN,13.75,-17.0,short
2019-12-30,CFG,40.79,-23.0,short
2019-12-30,CFX,36.38,-30.0,short
2019-12-30,CG,31.22,70.0,buy
2019-12-30,CHCO,82.53,-17.0,short
2019-12-30,CHH,104.98,-28.0,short
2019-12-30,CHNG,16.02,-31.0,short
2019-12-30,CHUY,25.84,25.0,buy
2019-12-30,CHWY,28.64,64.0,buy
2019-12-30,CIB,54.78,-45.0,short
2019-12-30,CIGI,77.91,-27.0,short
2019-12-30,CINF,104.09,15.0,buy
2019-12-30,CIT,45.68,-31.0,short
2019-12-30,CLAR,13.73,21.0,buy
2019-12-30,CLB,46.92,21.0,buy
2019-12-30,CLCT,23.69,-34.0,short
2019-12-30,CLNC,13.11,-31.0,short
2019-12-30,CMC,22.51,-16.0,short
2019-12-30,CMCT,14.49,15.0,buy
2019-12-30,CMG,838.17,-30.0,short
2019-12-30,CMLS,17.64,26.0,buy
2019-12-30,CNA,44.55,-19.0,short
2019-12-30,CNHI,11.11,39.0,buy
2019-12-30,CNTG,11.58,-41.0,short
2019-12-30,CNXM,16.05,-40.0,short
2019-12-30,COHR,166.16,-28.0,short
2019-12-30,COHU,22.41,33.0,buy
2019-12-30,COMM,13.98,20.0,buy
2019-12-30,CONN,12.34,22.0,buy
2019-12-30,COOP,12.75,21.0,buy
2019-12-30,COTY,10.96,41.0,buy
2019-12-30,COUP,150.05,-31.0,short
2019-12-30,CPHC,12.34,-19.0,short
2019-12-30,CPK,94.75,-23.0,short
2019-12-30,CPLG,10.52,59.0,buy
2019-12-30,CPLP,13.15,39.0,buy
2019-12-30,CPS,32.66,-20.0,short
2019-12-30,CPSI,27.03,-16.0,short
2019-12-30,CPT,104.97,-16.0,short
2019-12-30,CQP,39.96,33.0,buy
2019-12-30,CREE,46.9,17.0,buy
2019-12-30,CRF,11.0,-18.0,short
2019-12-30,CRNC,21.0,-21.0,short
2019-12-30,CRSP,66.0,46.0,buy
2019-12-30,CRVL,86.65,-28.0,short
2019-12-30,CRWD,50.0,30.0,buy
2019-12-30,CSGP,600.75,-38.0,short
2019-12-30,CSGS,51.72,-17.0,short
2019-12-30,CSPI,13.14,-18.0,short
2019-12-30,CSTE,14.85,22.0,buy
2019-12-30,CTT,11.41,26.0,buy
2019-12-30,CUBI,23.7,21.0,buy
2019-12-30,CUE,17.22,-20.0,short
2019-12-30,CULP,14.16,28.0,buy
2019-12-30,CURO,12.35,35.0,buy
2019-12-30,CUTR,36.25,-36.0,short
2019-12-30,CUZ,41.1,-19.0,short
2019-12-30,CVA,14.9,-87.0,short
2019-12-30,CVBF,21.67,-18.0,short
2019-12-30,CVE,10.14,17.0,buy
2019-12-30,CVET,12.66,16.0,buy
2019-12-30,CVTI,13.0,16.0,buy
2019-12-30,CWCO,16.42,-21.0,short
2019-12-30,CWH,14.53,90.0,buy
2019-12-30,CWK,20.49,25.0,buy
2019-12-30,CXO,85.83,18.0,buy
2019-12-30,CXP,20.78,15.0,buy
2019-12-30,CYD,13.42,97.0,buy
2019-12-30,CYTK,10.25,-18.0,short
2019-12-30,CZNC,27.39,-23.0,short
2019-12-30,CZR,13.62,-16.0,short
2019-12-30,CZWI,12.25,20.0,buy
2019-12-30,CZZ,22.94,21.0,buy
2019-12-30,DAN,18.5,71.0,buy
2019-12-30,DAO,14.0,-30.0,short
2019-12-30,DAVA,48.29,16.0,buy
2019-12-30,DBI,15.57,-23.0,short
2019-12-30,DBVT,11.08,-33.0,short
2019-12-30,DBX,17.65,74.0,buy
2019-12-30,DCI,58.12,20.0,buy
2019-12-30,DDMX,10.2,-42.0,short
2019-12-30,DDOG,36.72,42.0,buy
2019-12-30,DERM,14.66,40.0,buy
2019-12-30,DGICA,14.63,26.0,buy
2019-12-30,DGX,106.8,16.0,buy
2019-12-30,DISCB,34.42,67.0,buy
2019-12-30,DISH,36.07,-20.0,short
2019-12-30,DK,33.4,-45.0,short
2019-12-30,DKS,48.2,16.0,buy
2019-12-30,DLA,30.85,-20.0,short
2019-12-30,DLB,68.47,23.0,buy
2019-12-30,DLPH,12.9,-81.0,short
2019-12-30,DLTH,10.34,-26.0,short
2019-12-30,DLTR,92.81,-20.0,short
2019-12-30,DLX,49.96,-25.0,short
2019-12-30,DMRC,33.16,-18.0,short
2019-12-30,DMTK,12.5,-23.0,short
2019-12-30,DNOW,11.3,-24.0,short
2019-12-30,DOC,18.69,34.0,buy
2019-12-30,DOMO,22.95,-18.0,short
2019-12-30,DOOR,72.02,-20.0,short
2019-12-30,DRE,34.26,38.0,buy
2019-12-30,DRH,11.21,53.0,buy
2019-12-30,DSPG,15.61,-33.0,short
2019-12-30,DSSI,16.75,15.0,buy
2019-12-30,DT,25.62,23.0,buy
2019-12-30,DTE,128.65,17.0,buy
2019-12-30,DUK,90.6,27.0,buy
2019-12-30,DUO,14.53,-45.0,short
2019-12-30,DXC,36.7,30.0,buy
2019-12-30,EAF,11.7,36.0,buy
2019-12-30,EBF,21.9,18.0,buy
2019-12-30,EC,20.24,30.0,buy
2019-12-30,ECHO,21.1,18.0,buy
2019-12-30,ECPG,35.99,-23.0,short
2019-12-30,EEX,10.6,-27.0,short
2019-12-30,EFX,140.22,-22.0,short
2019-12-30,EGHT,18.07,-36.0,short
2019-12-30,EGP,131.06,-20.0,short
2019-12-30,EHC,69.93,18.0,buy
2019-12-30,ELLO,17.46,-21.0,short
2019-12-30,ELS,69.32,17.0,buy
2019-12-30,ENB,39.63,-18.0,short
2019-12-30,ENBL,10.23,-24.0,short
2019-12-30,ENIA,10.95,-29.0,short
2019-12-30,ENPH,26.71,20.0,buy
2019-12-30,ENVA,23.33,21.0,buy
2019-12-30,EOLS,11.85,-18.0,short
2019-12-30,EPAY,53.49,-15.0,short
2019-12-30,EPD,28.21,22.0,buy
2019-12-30,EPZM,23.03,-19.0,short
2019-12-30,EQC,32.57,58.0,buy
2019-12-30,EQH,24.7,24.0,buy
2019-12-30,EQR,80.7,20.0,buy
2019-12-30,EQT,10.49,82.0,buy
2019-12-30,ERA,10.01,71.0,buy
2019-12-30,ERJ,19.65,46.0,buy
2019-12-30,ESI,11.55,33.0,buy
2019-12-30,ESP,21.73,-26.0,short
2019-12-30,ESQ,26.71,-26.0,short
2019-12-30,ESRT,13.8,43.0,buy
2019-12-30,ESS,298.54,17.0,buy
2019-12-30,ESTA,27.0,-16.0,short
2019-12-30,ET,12.94,41.0,buy
2019-12-30,ETNB,24.73,-21.0,short
2019-12-30,EURN,12.17,20.0,buy
2019-12-30,EVER,34.8,-21.0,short
2019-12-30,EVOP,26.53,71.0,buy
2019-12-30,EVRI,13.3,36.0,buy
2019-12-30,EWBC,49.21,-16.0,short
2019-12-30,EXEL,18.1,-17.0,short
2019-12-30,EXLS,69.91,27.0,buy
2019-12-30,EXPI,11.84,83.0,buy
2019-12-30,EXPO,69.43,26.0,buy
2019-12-30,EXR,104.21,28.0,buy
2019-12-30,FARO,50.42,-15.0,short
2019-12-30,FBK,39.66,30.0,buy
2019-12-30,FBP,10.66,19.0,buy
2019-12-30,FC,33.64,-30.0,short
2019-12-30,FCAU,14.86,132.0,buy
2019-12-30,FCCO,21.26,-16.0,short
2019-12-30,FCCY,21.65,-27.0,short
2019-12-30,FCF,14.56,-27.0,short
2019-12-30,FCX,13.09,120.0,buy
2019-12-30,FDUS,14.99,-33.0,short
2019-12-30,FDX,153.1,-19.0,short
2019-12-30,FEIM,10.27,-46.0,short
2019-12-30,FELE,56.8,17.0,buy
2019-12-30,FFNW,14.9,-17.0,short
2019-12-30,FFWM,17.45,16.0,buy
2019-12-30,FG,10.53,21.0,buy
2019-12-30,FGEN,44.95,32.0,buy
2019-12-30,FHB,29.04,19.0,buy
2019-12-30,FHN,16.61,28.0,buy
2019-12-30,FIBK,41.98,17.0,buy
2019-12-30,FIF,17.01,-50.0,short
2019-12-30,FLEX,12.69,24.0,buy
2019-12-30,FLIC,24.98,-24.0,short
2019-12-30,FLO,21.63,23.0,buy
2019-12-30,FLWS,14.32,15.0,buy
2019-12-30,FLXS,20.53,16.0,buy
2019-12-30,FMAO,30.66,-20.0,short
2019-12-30,FMBH,35.25,27.0,buy
2019-12-30,FMNB,16.25,-16.0,short
2019-12-30,FMX,95.04,-23.0,short
2019-12-30,FNB,12.7,-46.0,short
2019-12-30,FOE,14.77,-15.0,short
2019-12-30,FOR,20.89,20.0,buy
2019-12-30,FORR,41.99,-27.0,short
2019-12-30,FRBA,10.98,44.0,buy
2019-12-30,FREQ,18.49,85.0,buy
2019-12-30,FRME,41.38,16.0,buy
2019-12-30,FRO,12.49,53.0,buy
2019-12-30,FRPT,59.36,-15.0,short
2019-12-30,FRT,127.91,16.0,buy
2019-12-30,FSB,34.02,19.0,buy
2019-12-30,FSTR,19.66,-18.0,short
2019-12-30,FTAI,19.81,-17.0,short
2019-12-30,FTCH,10.37,-15.0,short
2019-12-30,FTI,21.09,54.0,buy
2019-12-30,FTNT,107.45,-21.0,short
2019-12-30,FTS,41.38,-17.0,short
2019-12-30,FUL,51.99,-19.0,short
2019-12-30,FULT,17.63,-18.0,short
2019-12-30,FWONA,43.8,68.0,buy
2019-12-30,FWONK,45.84,-26.0,short
2019-12-30,G,42.36,34.0,buy
2019-12-30,GAIN,13.54,30.0,buy
2019-12-30,GBL,18.71,36.0,buy
2019-12-30,GCO,48.44,-22.0,short
2019-12-30,GCP,22.14,-31.0,short
2019-12-30,GD,177.54,-77.0,short
2019-12-30,GDOT,23.25,-16.0,short
2019-12-30,GDP,10.7,-43.0,short
2019-12-30,GDS,52.0,19.0,buy
2019-12-30,GE,11.07,37.0,buy
2019-12-30,GEF,44.43,18.0,buy
2019-12-30,GEO,16.85,52.0,buy
2019-12-30,GFN,10.99,-23.0,short
2019-12-30,GHL,16.79,-36.0,short
2019-12-30,GILD,65.73,22.0,buy
2019-12-30,GLDD,11.1,-43.0,short
2019-12-30,GLNG,13.88,-19.0,short
2019-12-30,GLOP,15.43,16.0,buy
2019-12-30,GLPG,209.2,-17.0,short
2019-12-30,GMAB,22.33,26.0,buy
2019-12-30,GMRE,12.96,-17.0,short
2019-12-30,GNK,10.5,86.0,buy
2019-12-30,GOOS,37.43,17.0,buy
2019-12-30,GPI,100.72,22.0,buy
2019-12-30,GPP,14.04,-21.0,short
2019-12-30,GPRE,15.38,46.0,buy
2019-12-30,GPS,17.86,-44.0,short
2019-12-30,GPX,12.95,21.0,buy
2019-12-30,GRTX,13.69,38.0,buy
2019-12-30,GSH,16.87,41.0,buy
2019-12-30,GSX,21.89,16.0,buy
2019-12-30,GTES,13.68,-29.0,short
2019-12-30,GTN,21.36,-16.0,short
2019-12-30,GTS,18.96,46.0,buy
2019-12-30,GTT,10.34,29.0,buy
2019-12-30,GTX,10.2,122.0,buy
2019-12-30,GVA,26.83,33.0,buy
2019-12-30,HA,29.86,16.0,buy
2019-12-30,HABT,10.54,17.0,buy
2019-12-30,HAFC,20.04,25.0,buy
2019-12-30,HAL,24.57,20.0,buy
2019-12-30,HALO,17.96,66.0,buy
2019-12-30,HASI,32.1,-24.0,short
2019-12-30,HBAN,15.19,-26.0,short
2019-12-30,HBB,19.07,-23.0,short
2019-12-30,HBI,14.79,-18.0,short
2019-12-30,HBT,18.8,38.0,buy
2019-12-30,HCA,149.35,-17.0,short
2019-12-30,HCC,20.88,66.0,buy
2019-12-30,HCI,45.92,-19.0,short
2019-12-30,HCM,25.85,25.0,buy
2019-12-30,HEP,22.39,-16.0,short
2019-12-30,HES,66.53,-22.0,short
2019-12-30,HESM,22.36,160.0,buy
2019-12-30,HHR,20.58,-27.0,short
2019-12-30,HII,251.48,-21.0,short
2019-12-30,HIIQ,18.57,-22.0,short
2019-12-30,HLG,65.63,-17.0,short
2019-12-30,HMC,28.33,-22.0,short
2019-12-30,HNGR,27.51,15.0,buy
2019-12-30,HNNA,10.14,-49.0,short
2019-12-30,HOLI,16.26,-16.0,short
2019-12-30,HOLX,52.42,-26.0,short
2019-12-30,HOMB,19.64,-41.0,short
2019-12-30,HONE,11.03,24.0,buy
2019-12-30,HOPE,14.9,-37.0,short
2019-12-30,HOV,20.97,15.0,buy
2019-12-30,HPQ,20.5,30.0,buy
2019-12-30,HRL,45.11,19.0,buy
2019-12-30,HSC,22.91,17.0,buy
2019-12-30,HSON,12.48,-28.0,short
2019-12-30,HST,18.64,-20.0,short
2019-12-30,HT,14.69,33.0,buy
2019-12-30,HTBI,26.83,21.0,buy
2019-12-30,HTBK,12.87,-23.0,short
2019-12-30,HTGC,14.1,-18.0,short
2019-12-30,HTH,24.82,21.0,buy
2019-12-30,HTHT,41.36,16.0,buy
2019-12-30,HUD,15.1,47.0,buy
2019-12-30,HUYA,17.9,64.0,buy
2019-12-30,HWC,44.09,19.0,buy
2019-12-30,HZO,16.7,-15.0,short
2019-12-30,IART,58.68,17.0,buy
2019-12-30,IBKC,75.04,-33.0,short
2019-12-30,IBKR,47.31,35.0,buy
2019-12-30,IBN,15.24,17.0,buy
2019-12-30,ICFI,92.3,-21.0,short
2019-12-30,IDXX,264.12,-22.0,short
2019-12-30,IFF,127.67,24.0,buy
2019-12-30,IFS,40.31,-15.0,short
2019-12-30,IHRT,15.89,22.0,buy
2019-12-30,IIN,18.02,-32.0,short
2019-12-30,IMMU,21.81,83.0,buy
2019-12-30,INDB,84.24,-18.0,short
2019-12-30,ING,12.11,23.0,buy
2019-12-30,INN,12.3,-18.0,short
2019-12-30,INS,40.61,-35.0,short
2019-12-30,INSP,74.13,-21.0,short
2019-12-30,INST,48.48,-18.0,short
2019-12-30,INTU,267.16,19.0,buy
2019-12-30,IOVA,27.77,23.0,buy
2019-12-30,IRCP,16.38,-23.0,short
2019-12-30,IRMD,24.67,-17.0,short
2019-12-30,IRT,13.91,20.0,buy
2019-12-30,IRWD,13.56,43.0,buy
2019-12-30,ISBC,11.98,21.0,buy
2019-12-30,ISDR,11.65,18.0,buy
2019-12-30,ITRN,25.03,-16.0,short
2019-12-30,IVR,16.79,-18.0,short
2019-12-30,IVZ,17.92,-24.0,short
2019-12-30,JAZZ,151.32,-19.0,short
2019-12-30,JBLU,18.9,-39.0,short
2019-12-30,JCOM,94.02,20.0,buy
2019-12-30,JD,36.0,-19.0,short
2019-12-30,JEF,21.25,-35.0,short
2019-12-30,JHG,24.69,24.0,buy
2019-12-30,JHX,20.12,40.0,buy
2019-12-30,JKS,22.52,19.0,buy
2019-12-30,JNPR,24.42,-38.0,short
2019-12-30,JRVR,41.46,23.0,buy
2019-12-30,JYNT,16.28,80.0,buy
2019-12-30,KALV,16.3,-21.0,short
2019-12-30,KAR,21.62,-15.0,short
2019-12-30,KB,41.51,-39.0,short
2019-12-30,KBAL,20.74,-22.0,short
2019-12-30,KE,18.02,15.0,buy
2019-12-30,KELYA,22.16,18.0,buy
2019-12-30,KEP,11.83,51.0,buy
2019-12-30,KEQU,13.78,-32.0,short
2019-12-30,KEY,20.44,-40.0,short
2019-12-30,KEYS,103.12,-18.0,short
2019-12-30,KHC,31.67,16.0,buy
2019-12-30,KIDS,46.5,-34.0,short
2019-12-30,KKR,29.25,-23.0,short
2019-12-30,KLIC,26.93,37.0,buy
2019-12-30,KMI,21.1,-27.0,short
2019-12-30,KMPR,76.74,24.0,buy
2019-12-30,KMT,37.26,-16.0,short
2019-12-30,KN,20.94,-33.0,short
2019-12-30,KNSA,11.7,47.0,buy
2019-12-30,KOP,38.3,-17.0,short
2019-12-30,KRA,24.75,30.0,buy
2019-12-30,KRG,19.28,-41.0,short
2019-12-30,KRNY,13.8,-23.0,short
2019-12-30,KRP,17.02,117.0,buy
2019-12-30,KRTX,75.61,-16.0,short
2019-12-30,KRYS,60.26,-20.0,short
2019-12-30,KYN,14.1,-32.0,short
2019-12-30,LADR,18.21,-23.0,short
2019-12-30,LAKE,10.69,-36.0,short
2019-12-30,LAUR,17.83,48.0,buy
2019-12-30,LAWS,52.25,-19.0,short
2019-12-30,LB,18.2,18.0,buy
2019-12-30,LC,12.52,-56.0,short
2019-12-30,LCII,108.78,18.0,buy
2019-12-30,LEGH,16.9,29.0,buy
2019-12-30,LEVI,19.23,124.0,buy
2019-12-30,LEVL,25.2,20.0,buy
2019-12-30,LFC,13.75,42.0,buy
2019-12-30,LGIH,70.32,23.0,buy
2019-12-30,LGL,15.7,-20.0,short
2019-12-30,LILA,19.62,50.0,buy
2019-12-30,LILAK,19.69,-28.0,short
2019-12-30,LMNR,19.38,58.0,buy
2019-12-30,LMRK,16.67,34.0,buy
2019-12-30,LMST,17.01,-20.0,short
2019-12-30,LMT,393.65,-32.0,short
2019-12-30,LN,48.93,-26.0,short
2019-12-30,LNN,96.69,-20.0,short
2019-12-30,LNTH,20.37,-30.0,short
2019-12-30,LORL,32.94,26.0,buy
2019-12-30,LOVE,14.81,-37.0,short
2019-12-30,LPG,14.83,31.0,buy
2019-12-30,LSCC,19.22,66.0,buy
2019-12-30,LSXMA,48.19,24.0,buy
2019-12-30,LX,13.07,43.0,buy
2019-12-30,LXFR,18.56,-25.0,short
2019-12-30,LXP,10.51,28.0,buy
2019-12-30,LYB,94.03,16.0,buy
2019-12-30,MANU,19.8,34.0,buy
2019-12-30,MAT,13.8,127.0,buy
2019-12-30,MATW,37.69,-16.0,short
2019-12-30,MBOT,11.01,-22.0,short
2019-12-30,MBT,10.27,34.0,buy
2019-12-30,MBWM,36.71,16.0,buy
2019-12-30,MCK,139.52,-32.0,short
2019-12-30,MDGL,92.69,-16.0,short
2019-12-30,MDLA,31.66,32.0,buy
2019-12-30,MDLZ,54.92,21.0,buy
2019-12-30,MEI,39.13,17.0,buy
2019-12-30,MERC,12.56,-32.0,short
2019-12-30,MET,51.14,-22.0,short
2019-12-30,MFSF,39.67,-22.0,short
2019-12-30,MG,13.81,18.0,buy
2019-12-30,MGNX,10.72,29.0,buy
2019-12-30,MGP,30.49,102.0,buy
2019-12-30,MIC,43.01,26.0,buy
2019-12-30,MIME,43.38,-17.0,short
2019-12-30,MIST,15.35,-15.0,short
2019-12-30,MITT,15.57,23.0,buy
2019-12-30,MLAB,247.9,-50.0,short
2019-12-30,MLCO,24.37,-30.0,short
2019-12-30,MLM,278.54,-17.0,short
2019-12-30,MMC,112.27,25.0,buy
2019-12-30,MMI,37.18,20.0,buy
2019-12-30,MMSI,31.29,-17.0,short
2019-12-30,MNR,14.51,26.0,buy
2019-12-30,MNRL,20.85,20.0,buy
2019-12-30,MNSB,23.05,-20.0,short
2019-12-30,MNTA,20.47,-32.0,short
2019-12-30,MODN,35.46,-25.0,short
2019-12-30,MORF,18.22,36.0,buy
2019-12-30,MOS,21.31,22.0,buy
2019-12-30,MPW,20.61,-17.0,short
2019-12-30,MRC,13.46,-25.0,short
2019-12-30,MRNA,19.54,36.0,buy
2019-12-30,MRO,13.52,-53.0,short
2019-12-30,MRVL,26.6,20.0,buy
2019-12-30,MSC,19.8,45.0,buy
2019-12-30,MSM,79.04,-25.0,short
2019-12-30,MSTR,145.08,-26.0,short
2019-12-30,MT,17.69,25.0,buy
2019-12-30,MTB,170.46,30.0,buy
2019-12-30,MTCH,83.92,42.0,buy
2019-12-30,MTD,795.81,-44.0,short
2019-12-30,MTG,14.19,-34.0,short
2019-12-30,MTH,61.33,15.0,buy
2019-12-30,MTW,17.45,17.0,buy
2019-12-30,MTZ,63.57,-27.0,short
2019-12-30,MU,53.77,-27.0,short
2019-12-30,MVBF,24.63,18.0,buy
2019-12-30,MWA,11.94,-25.0,short
2019-12-30,MYE,16.59,-16.0,short
2019-12-30,MYGN,28.5,-37.0,short
2019-12-30,MYL,19.66,29.0,buy
2019-12-30,NAVI,13.72,42.0,buy
